Size;Process;Time
100000;2;0.002421
1000000;2;0.022383
10000000;2;0.438856
100000000;2;2.251379
1000000000;2;21.919350
10000000000;2;30.888931
100000;4;0.002935
1000000;4;0.023349
10000000;4;0.223993
100000000;4;2.224514
1000000000;4;22.497644
10000000000;4;30.956009
100000;8;0.001247
1000000;8;0.005875
10000000;8;0.057678
100000000;8;1.142336
1000000000;8;5.711521
10000000000;8;7.957078
100000;16;0.019567
1000000;16;0.017643
10000000;16;0.123918
100000000;16;1.050404
1000000000;16;10.389450
10000000000;16;15.191004
100000;32;0.040219
1000000;32;0.031860
10000000;32;0.147422
100000000;32;1.120207
1000000000;32;6.202073
10000000000;32;14.706255
100000;2;0.002418
1000000;2;0.022344
10000000;2;0.225432
100000000;2;2.184581
1000000000;2;21.901625
10000000000;2;61.822509
100000;4;0.002672
1000000;4;0.011855
10000000;4;0.220511
100000000;4;1.129977
1000000000;4;11.257266
10000000000;4;31.074390
100000;8;0.002104
1000000;8;0.014642
10000000;8;0.065026
100000000;8;1.137863
1000000000;8;5.698771
10000000000;8;8.055752
100000;16;0.021883
1000000;16;0.019704
10000000;16;0.075520
100000000;16;1.090433
1000000000;16;5.525504
10000000000;16;17.554788
100000;32;0.052050
1000000;32;0.065422
10000000;32;0.139943
100000000;32;1.094051
1000000000;32;11.500391
10000000000;32;7.290196
100000;2;0.002377
1000000;2;0.022239
10000000;2;0.218332
100000000;2;2.192332
1000000000;2;21.820278
10000000000;2;61.671958
100000;4;0.006429
1000000;4;0.023170
10000000;4;0.110500
100000000;4;2.247282
1000000000;4;21.941853
10000000000;4;15.886242
100000;8;0.001994
1000000;8;0.014498
10000000;8;0.062279
100000000;8;1.155858
1000000000;8;5.569579
10000000000;8;7.922630
100000;16;0.000973
1000000;16;0.031485
10000000;16;0.127422
100000000;16;1.206514
1000000000;16;11.005818
10000000000;16;15.329523
100000;32;0.039248
1000000;32;0.045257
10000000;32;0.107900
100000000;32;1.075864
1000000000;32;11.191828
10000000000;32;10.123766
100000;2;0.002438
1000000;2;0.022888
10000000;2;0.219607
100000000;2;4.379261
1000000000;2;21.914332
10000000000;2;30.876707
100000;4;0.001470
1000000;4;0.023270
10000000;4;0.114451
100000000;4;1.308322
1000000000;4;22.014917
10000000000;4;30.947403
100000;8;0.002929
1000000;8;0.013139
10000000;8;0.111674
100000000;8;1.136960
1000000000;8;11.164149
10000000000;8;15.863199
100000;16;0.034199
1000000;16;0.027484
10000000;16;0.146063
100000000;16;1.278993
1000000000;16;12.763351
10000000000;16;15.853840
100000;32;0.063468
1000000;32;0.052973
10000000;32;0.124331
100000000;32;1.113824
1000000000;32;10.747681
10000000000;32;15.616024
100000;2;0.004800
1000000;2;0.022458
10000000;2;0.438683
100000000;2;2.192277
1000000000;2;21.927489
10000000000;2;30.931936
100000;4;0.002881
1000000;4;0.012094
10000000;4;0.224014
100000000;4;1.115377
1000000000;4;11.168574
10000000000;4;15.720236
100000;8;0.006780
1000000;8;0.008442
10000000;8;0.114808
100000000;8;1.105921
1000000000;8;11.097063
10000000000;8;15.890377
100000;16;0.015858
1000000;16;0.003063
10000000;16;0.079651
100000000;16;0.824672
1000000000;16;11.102027
10000000000;16;8.579850
100000;32;0.039678
1000000;32;0.051889
10000000;32;0.151966
100000000;32;1.148374
1000000000;32;10.688095
10000000000;32;15.848554
100000;2;0.004796
1000000;2;0.022554
10000000;2;0.219746
100000000;2;2.182709
1000000000;2;22.374713
10000000000;2;30.881542
100000;4;0.001969
1000000;4;0.022887
10000000;4;0.220974
100000000;4;1.094612
1000000000;4;22.295860
10000000000;4;15.566572
100000;8;0.000667
1000000;8;0.013279
10000000;8;0.105363
100000000;8;1.118139
1000000000;8;11.118943
10000000000;8;15.709052
100000;16;0.019382
1000000;16;0.029636
10000000;16;0.159779
100000000;16;1.162872
1000000000;16;10.827214
10000000000;16;15.489308
100000;32;0.047507
1000000;32;0.039745
10000000;32;0.147570
100000000;32;0.588460
1000000000;32;10.479870
10000000000;32;14.827578
100000;2;0.002448
1000000;2;0.044285
10000000;2;0.225510
100000000;2;2.193290
1000000000;2;43.834750
10000000000;2;30.891527
100000;4;0.003242
1000000;4;0.011539
10000000;4;0.220508
100000000;4;1.097151
1000000000;4;21.939618
10000000000;4;31.123333
100000;8;0.001858
1000000;8;0.007172
10000000;8;0.121866
100000000;8;1.113003
1000000000;8;11.789757
10000000000;8;15.764675
100000;16;0.015129
1000000;16;0.019026
10000000;16;0.072146
100000000;16;1.202429
1000000000;16;6.391427
10000000000;16;8.010665
100000;32;0.052569
1000000;32;0.057664
10000000;32;0.095561
100000000;32;1.147766
1000000000;32;10.444074
10000000000;32;14.920016
100000;2;0.002486
1000000;2;0.022436
10000000;2;0.259884
100000000;2;2.182219
1000000000;2;43.812105
10000000000;2;30.886221
100000;4;0.001263
1000000;4;0.023025
10000000;4;0.221552
100000000;4;1.102184
1000000000;4;21.942012
10000000000;4;31.440280
100000;8;0.019074
1000000;8;0.014272
10000000;8;0.120492
100000000;8;0.575053
1000000000;8;11.872396
10000000000;8;7.855356
100000;16;0.014963
1000000;16;0.037161
10000000;16;0.057912
100000000;16;1.127993
1000000000;16;11.651818
10000000000;16;15.281919
100000;32;0.035050
1000000;32;0.031733
10000000;32;0.163999
100000000;32;1.075714
1000000000;32;5.659672
10000000000;32;14.317456
100000;2;0.002360
1000000;2;0.049021
10000000;2;0.219894
100000000;2;2.247631
1000000000;2;21.901743
10000000000;2;30.878477
100000;4;0.003090
1000000;4;0.011994
10000000;4;0.111105
100000000;4;1.119574
1000000000;4;22.191960
10000000000;4;15.698447
100000;8;0.007093
1000000;8;0.013969
10000000;8;0.117177
100000000;8;1.124792
1000000000;8;5.713772
10000000000;8;15.672756
100000;16;0.036445
1000000;16;0.030063
10000000;16;0.142265
100000000;16;1.237346
1000000000;16;10.976343
10000000000;16;15.184798
100000;32;0.046774
1000000;32;0.014129
10000000;32;0.140221
100000000;32;0.531685
1000000000;32;10.947456
10000000000;32;15.640044
100000;2;0.002450
1000000;2;0.022905
10000000;2;0.219755
100000000;2;2.183765
1000000000;2;21.874674
10000000000;2;30.978069
100000;4;0.002830
1000000;4;0.023192
10000000;4;0.114609
100000000;4;2.233347
1000000000;4;22.051738
10000000000;4;31.328752
100000;8;0.002254
1000000;8;0.020399
10000000;8;0.116924
100000000;8;1.113295
1000000000;8;11.218324
10000000000;8;15.557803
100000;16;0.005682
1000000;16;0.043981
10000000;16;0.141380
100000000;16;1.163718
1000000000;16;5.532639
10000000000;16;15.409311
100000;32;0.063675
1000000;32;0.039986
10000000;32;0.128635
100000000;32;1.101510
1000000000;32;10.576862
10000000000;32;14.867517

